flujo_id,flujo,fecha,valor_comercio
2,Exportaciones,6/1/2015,134761343
2,Exportaciones,7/1/2015,146788714
2,Exportaciones,8/1/2015,121648530
2,Exportaciones,9/1/2015,116704883
2,Exportaciones,10/1/2015,129580972
2,Exportaciones,11/1/2015,117300990
2,Exportaciones,12/1/2015,121496624
2,Exportaciones,1/1/2016,109668956
2,Exportaciones,2/1/2016,123763123
2,Exportaciones,3/1/2016,128708176
2,Exportaciones,4/1/2016,132525421
2,Exportaciones,5/1/2016,142426319
2,Exportaciones,6/1/2016,140760720
2,Exportaciones,7/1/2016,125032436
2,Exportaciones,8/1/2016,143595682
2,Exportaciones,9/1/2016,135349621
2,Exportaciones,10/1/2016,141370971
2,Exportaciones,11/1/2016,141064816
2,Exportaciones,12/1/2016,129742083
2,Exportaciones,1/1/2017,132664032
2,Exportaciones,2/1/2017,126021287
2,Exportaciones,3/1/2017,144914108
2,Exportaciones,4/1/2017,124477264
2,Exportaciones,5/1/2017,155969888
2,Exportaciones,6/1/2017,145881956
2,Exportaciones,7/1/2017,157508356
2,Exportaciones,8/1/2017,147494218
2,Exportaciones,9/1/2017,136425742
2,Exportaciones,10/1/2017,159418461
2,Exportaciones,11/1/2017,151876986
2,Exportaciones,12/1/2017,160542978
2,Exportaciones,1/1/2018,146747674
2,Exportaciones,2/1/2018,145476117
2,Exportaciones,3/1/2018,145333634
2,Exportaciones,4/1/2018,134092234
2,Exportaciones,5/1/2018,183245484
2,Exportaciones,6/1/2018,173006552
2,Exportaciones,7/1/2018,171095262
2,Exportaciones,8/1/2018,159876457
2,Exportaciones,9/1/2018,148138571
2,Exportaciones,10/1/2018,156991195
2,Exportaciones,11/1/2018,162775000
2,Exportaciones,12/1/2018,152257678
2,Exportaciones,1/1/2019,160910027
2,Exportaciones,2/1/2019,163988631
2,Exportaciones,3/1/2019,178756540
2,Exportaciones,4/1/2019,180287234
2,Exportaciones,5/1/2019,193437459
2,Exportaciones,6/1/2019,180824974
2,Exportaciones,7/1/2019,193489571
2,Exportaciones,8/1/2019,183770856
2,Exportaciones,9/1/2019,178931667
2,Exportaciones,10/1/2019,205873143
2,Exportaciones,11/1/2019,198530854
2,Exportaciones,12/1/2019,218158443
2,Exportaciones,1/1/2020,184480555
2,Exportaciones,2/1/2020,201391355
2,Exportaciones,3/1/2020,222283865
2,Exportaciones,4/1/2020,221558357
2,Exportaciones,5/1/2020,280071351
2,Exportaciones,6/1/2020,276450577
2,Exportaciones,7/1/2020,225711478
2,Exportaciones,8/1/2020,230373609
2,Exportaciones,9/1/2020,215872092
2,Exportaciones,10/1/2020,195622893
2,Exportaciones,11/1/2020,175228958
2,Exportaciones,12/1/2020,197335959
2,Exportaciones,1/1/2021,176741388
2,Exportaciones,2/1/2021,224297832
2,Exportaciones,3/1/2021,280415566
2,Exportaciones,4/1/2021,245712216
2,Exportaciones,5/1/2021,278297619
2,Exportaciones,6/1/2021,331727595
2,Exportaciones,7/1/2021,286546108
2,Exportaciones,8/1/2021,277746412
2,Exportaciones,9/1/2021,280622582
2,Exportaciones,10/1/2021,281407617
2,Exportaciones,11/1/2021,297243172
2,Exportaciones,12/1/2021,280684273
2,Exportaciones,1/1/2022,269246873
2,Exportaciones,2/1/2022,279451193
2,Exportaciones,3/1/2022,325504704
2,Exportaciones,4/1/2022,276191764
